Contract ID,Offer ID,Title,End Date,Status,Hourly Rate,Fixed Price Amount Agreed,Weekly Limit,Contract type,Milestone Status,Escrow Refund Status,Date,Time
32176976,22537346,I need a professional to help me rewrite the article [Long-term cooperation],,Active,,5,,Fixed Price,Paid By System,,2022-12-05,17:59:47
34467351,26025861,Writer Required,,Active,,10,,Fixed Price,Paid By System,,2023-08-09,10:03:28
35745851,100056819,Paraphrase 1000 words blog post.,2023-12-15T09:49:45.000Z,Ended,,15,,Fixed Price,Paid,,2023-12-15,05:02:10
33808159,24865200,Short Journal Critique,,Active,,15,,Fixed Price,Paid,,2023-06-04,16:31:06
33843479,24922915,Academic Writing Help,2023-06-11T20:33:00.000Z,Ended,,20,,Fixed Price,Paid,,2023-06-07,22:25:43
32154024,22507553,Aged care and disability care case study,2022-12-06T20:32:15.000Z,Ended,,20,,Fixed Price,Paid,,2022-12-02,13:18:58
33372552,24184039,ageing and disability critique,2023-05-02T00:35:20.000Z,Ended,,20,,Fixed Price,Paid,,2023-04-19,09:13:53
32543819,23017543,I need someone to write an essay. 1000w,2023-01-20T23:17:51.000Z,Ended,,20,,Fixed Price,Cancelled By System,,2023-01-20,18:49:31
33875849,24977622,literature review on Group problem solving,,Active,,20,,Fixed Price,Paid,,2023-06-11,17:28:07
34714910,26460684,SCA024 - Chemistry Experts Assessment,2023-09-20T21:08:53.000Z,Ended,,20,,Fixed Price,Paid,,2023-09-02,00:00:00
34770189,26554443,Find 5 academic articles that talks about a specific subject and identify an issue in an article,,Active,,25,,Fixed Price,Paid By System,,2023-09-08,04:25:05
33150400,23851598,PICOT PPE Worksheet,2023-03-26T23:57:25.000Z,Ended,,25,,Fixed Price,Paid,,2023-03-25,18:06:08
33268163,24026216,Research worksheet,,Active,,25,,Fixed Price,Paid,,2023-04-07,17:37:54
33988446,25170611,You will get Scientific Literature Review on Medical Science and Technology,2023-06-24T20:15:40.000Z,Ended,,25,,Fixed Price,Paid,,2023-06-22,16:24:02
33327097,24113685,Input data,,Active,,30,,Fixed Price,Paid,,2023-04-14,04:56:09
33388371,24207151,Liver research,,Active,,30,,Fixed Price,Paid By System,,2023-04-20,17:30:26
33907383,25030774,Researcher on a renewable energy sources topics,,Active,,30,,Fixed Price,Paid,,2023-06-14,14:54:59
35748795,100063786,Technical Writers Needed to Review Pre-Hire Assessment,2023-12-15T20:02:58.000Z,Ended,,30,,Fixed Price,Paid,,2023-12-15,13:05:48
35083497,27103370,Acdemic writer  for Portfolio needed,,Active,,35,,Fixed Price,Paid,,2023-10-09,16:31:42
33117187,23804155,Literature writing,2023-11-27T06:29:10.000Z,Ended,,36,,Fixed Price,Paid,,2023-03-22,02:22:37
33527382,24417307,Autoimmune Haemolytic Anaemia Poster,,Active,,40,,Fixed Price,Paid By System,,2023-05-05,11:49:02
33569028,24482922,Case studies aging and disability,2023-05-17T23:45:32.000Z,Ended,,40,,Fixed Price,Paid,,2023-05-10,06:29:16
35433959,27643748,Academic writing,,Active,,45,,Fixed Price,Paid,,2023-11-13,11:43:37
34165995,25471874,ESG proposal,,Active,,50,,Fixed Price,Paid By System,,2023-07-11,11:00:32
35917776,100298775,LC - Literature Review,,Active,,50,,Fixed Price,Active,,2024-01-05,04:51:20
33949382,25105574,Qualitative policy analysis and evaluation: DIRECTIVE (EU) 2019 impact of plastic on environment,,Active,,50,,Fixed Price,Paid By System,,2023-06-19,09:28:31
33367924,24176541,revise text,,Active,,50,,Fixed Price,Paid By System,,2023-04-18,19:53:50
34008135,25203290,Write a brief article,,Active,,50,,Fixed Price,Paid,,2023-06-24,20:16:02
33676061,24647626,Assignments,,Active,,60,,Fixed Price,Paid By System,,2023-05-21,12:55:26
34037180,25255216,Case Study Analysis,,Active,,60,,Fixed Price,Paid,,2023-06-27,20:45:01
35517521,27770085,Research Report,2023-12-13T14:42:02.000Z,Ended,,60,,Fixed Price,Paid,,2023-11-21,16:31:31
35735268,100047571,2000 words essay on qualitative psychological methods,2023-12-15T16:49:55.000Z,Ended,,70,,Fixed Price,Cancelled By System,,2023-12-14,05:48:25
35758106,100076142,Accademic support,2023-12-18T16:54:50.000Z,Ended,,70,,Fixed Price,Cancelled By System,,2023-12-16,14:47:34
35818806,100162140,table fill in,,Active,,70,,Fixed Price,Paid,,2023-12-23,08:00:26
35141337,27201876,Edit,2023-12-04T11:45:31.000Z,Ended,,80,,Fixed Price,Paid By System,,2023-10-15,05:33:56
33882371,24989424,Review of existing theories / research and writing,2023-06-20T09:46:53.000Z,Ended,,80,,Fixed Price,Paid,,2023-06-12,13:16:28
34267696,25656515,Help with paper,,Active,,100,,Fixed Price,Paid,,2023-07-20,17:20:10
33597810,24526715,Manuscript review,,Active,,100,,Fixed Price,Paid,,2023-05-12,18:28:19
35014853,26987414,Paper on how the growth in digital has impacted traditional media like newspapers and TV,,Active,,100,,Fixed Price,Paid,,2023-10-02,20:34:48
33559674,24468484,Research project: Discussion section,,Active,,100,,Fixed Price,Paid By System,,2023-05-09,11:02:45
33835769,24910157,theoretical foundation and literature review.,2023-06-12T13:08:41.000Z,Ended,,100,,Fixed Price,Paid,,2023-06-07,09:13:09
35030195,27004576,Research paper writing,,Active,,120,,Fixed Price,Paid,,2023-10-04,05:09:27
34133500,25414699,Support for a research paper,,Active,,120,,Fixed Price,Paid By System,,2023-07-07,15:56:42
34165728,25471249,Work Assistance,2023-07-14T10:55:02.000Z,Ended,,120,,Fixed Price,Paid,,2023-07-11,10:26:52
35772032,100096313,Academic paper on happiness,,Active,,150,,Fixed Price,Paid,,2023-12-18,15:23:56
34937930,26855012,Edit,,Active,,210,,Fixed Price,Paid By System,,2023-09-25,11:59:18
35010781,26981357,"Editing, writing and updating a review paper for q1 journal .",2023-10-18T09:51:34.000Z,Ended,,250,,Fixed Price,Paid,Accepted,2023-10-02,15:03:03
34478779,26046285,To improve on DBA thesis and come up with slides for viva voce examination,,Active,,250,,Fixed Price,Paid By System,,2023-08-10,09:45:10
34339497,25792058,Innovation Grant Writing and Reviewer: Medical Technology,2023-10-14T16:56:25.000Z,Ended,,300,,Fixed Price,Paid By System,,2023-07-27,17:40:44
32571913,23053423,Systematic review,,Active,,300,,Fixed Price,Paid,,2023-01-24,11:08:54
35216179,27309297,sociology paper tutors,2023-11-06T16:12:06.000Z,Ended,,420,,Fixed Price,Cancelled By Client,Accepted,2023-10-22,17:44:08
35728581,100043718,Ghost Writer for Book Project of 50000 words or more Required on Indian Education,,Active,,800,,Fixed Price,Active,,2023-12-13,15:30:31
34781044,26574664,Talent Store: Chemistry Experts - Training AI Models (SCA024),,Active,,"10,000.00",,Fixed Price,Paid,,2023-09-09,00:00:00
35908749,100289785,Talent Store: Data Set Collection (SCA042),,Active,,"10,000.00",,Fixed Price,Active,,2024-01-04,00:00:00
35083643,27103885,Condense Research Design Proposal,,Active,15.0,,5.0,Hourly,,,2023-10-09,16:42:07
33978090,25153224,Find major academic studies that show that people think in terms of frameworks,2023-06-27T18:42:09.000Z,Ended,15.0,,10.0,Hourly,,,2023-06-21,17:59:59
35900645,100278437,History Tutor for US High school student,,Active,15.0,,40.0,Hourly,,,2024-01-03,16:31:42
34626354,26308838,Qualitative Ethnography Research Proposal,2023-10-05T15:47:46.000Z,Ended,15.0,,5.0,Hourly,,,2023-08-25,00:00:00
32343810,22755396,Requiring information about English style review,2023-01-10T11:34:06.000Z,Ended,18.0,,40.0,Hourly,,,2022-12-27,17:22:05
33184230,23902574,Requiring information about English style review,2023-04-12T14:55:17.000Z,Ended,15.0,,40.0,Hourly,,,2023-03-29,15:40:58
33952758,25111341,Scientific references summary,,Active,16.0,,20.0,Hourly,,,2023-06-19,15:45:02
32204714,22572965,Sociology/Psychology Research - Theories of Motivation and Engagement,2022-12-11T14:27:09.000Z,Ended,35.0,,5.0,Hourly,,,2022-12-08,11:44:41
